date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2020-12-21,AG,0,694072,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2020-12-22,AG,0,694072,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2020-12-23,AG,0,694072,0,0,NA,0,NA,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2020-12-24,AG,1,694072,1,0,0,0,0.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2020-12-25,AG,0,694072,1,0,0,0,14.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2020-12-26,AG,0,694072,1,0,0,0,24.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2020-12-27,AG,0,694072,1,0,0,0,34.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2020-12-28,AG,100,694072,101,0.01,0,0.01,34.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2020-12-29,AG,69,694072,170,0.01,0,0.02,34.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2020-12-30,AG,73,694072,243,0.01,0,0.04,34.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2020-12-31,AG,0,694072,243,0,0,0.04,34.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-01,AG,1,694072,244,0,0,0.04,20.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-02,AG,1,694072,245,0,0.01,0.04,76.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-03,AG,0,694072,245,0,0.02,0.04,133.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-04,AG,1,694072,246,0,0.03,0.04,237.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-05,AG,457,694072,703,0.07,0.05,0.1,329.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-06,AG,475,694072,1178,0.07,0.05,0.17,360.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-07,AG,725,694072,1903,0.1,0.05,0.27,360.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-08,AG,647,694072,2550,0.09,0.06,0.37,431,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-09,AG,218,694072,2768,0.03,0.07,0.4,484.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-10,AG,0,694072,2768,0,0.07,0.4,517.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-11,AG,495,694072,3263,0.07,0.07,0.47,513.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-12,AG,831,694072,4094,0.12,0.07,0.59,498.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-13,AG,706,694072,4800,0.1,0.07,0.69,499.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-14,AG,698,694072,5498,0.1,0.07,0.79,499.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-15,AG,544,694072,6042,0.08,0.08,0.87,550.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-16,AG,221,694072,6263,0.03,0.08,0.9,557.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-17,AG,2,694072,6265,0,0.09,0.9,651.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-18,AG,854,694072,7119,0.12,0.12,1.03,803.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-19,AG,880,694072,7999,0.13,0.13,1.15,895.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-20,AG,1360,694072,9359,0.2,0.13,1.35,881.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-21,AG,1762,694072,11121,0.25,0.13,1.6,881.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-22,AG,1190,694072,12311,0.17,0.14,1.77,937.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-23,AG,124,694072,12435,0.02,0.15,1.79,1026.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-24,AG,0,694072,12435,0,0.14,1.79,995.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-25,AG,1244,694072,13679,0.18,0.14,1.97,980.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-26,AG,1508,694072,15187,0.22,0.13,2.19,922,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-27,AG,1139,694072,16326,0.16,0.13,2.35,904.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-28,AG,1659,694072,17985,0.24,0.13,2.59,904.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-29,AG,780,694072,18765,0.11,0.12,2.7,842.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-30,AG,0,694072,18765,0,0.13,2.7,903.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-01-31,AG,0,694072,18765,0,0.15,2.7,1028.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-01,AG,810,694072,19575,0.12,0.15,2.82,1071.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-02,AG,1939,694072,21514,0.28,0.17,3.1,1212.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-03,AG,2014,694072,23528,0.29,0.18,3.39,1237.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-04,AG,1959,694072,25487,0.28,0.18,3.67,1237.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-05,AG,1768,694072,27255,0.25,0.18,3.93,1287.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-06,AG,172,694072,27427,0.02,0.18,3.95,1228.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-07,AG,0,694072,27427,0,0.17,3.95,1177.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-08,AG,1162,694072,28589,0.17,0.16,4.12,1125.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-09,AG,1522,694072,30111,0.22,0.16,4.34,1101.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-10,AG,1657,694072,31768,0.24,0.16,4.58,1101.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-11,AG,1596,694072,33364,0.23,0.16,4.81,1101.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-12,AG,1599,694072,34963,0.23,0.17,5.04,1166,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-13,AG,174,694072,35137,0.03,0.17,5.06,1182.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-14,AG,0,694072,35137,0,0.18,5.06,1275.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-15,AG,1614,694072,36751,0.23,0.2,5.29,1364.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-16,AG,1636,694072,38387,0.24,0.2,5.53,1411,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-17,AG,2312,694072,40699,0.33,0.23,5.86,1587.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-18,AG,2214,694072,42913,0.32,0.23,6.18,1587.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-19,AG,1927,694072,44840,0.28,0.24,6.46,1678.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-20,AG,1409,694072,46249,0.2,0.27,6.66,1851.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-21,AG,2,694072,46251,0,0.27,6.66,1910.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-22,AG,2248,694072,48499,0.32,0.29,6.99,2053.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-23,AG,2850,694072,51349,0.41,0.31,7.4,2191.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-24,AG,2724,694072,54073,0.39,0.31,7.79,2127.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-25,AG,3213,694072,57286,0.46,0.31,8.25,2127.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-26,AG,2894,694072,60180,0.42,0.3,8.67,2111,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-27,AG,963,694072,61143,0.14,0.3,8.81,2080.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-02-28,AG,3,694072,61146,0,0.31,8.81,2123.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-01,AG,2130,694072,63276,0.31,0.3,9.12,2050.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-02,AG,2637,694072,65913,0.38,0.3,9.5,2054.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-03,AG,3026,694072,68939,0.44,0.28,9.93,1963.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-04,AG,2703,694072,71642,0.39,0.28,10.32,1962.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-05,AG,2919,694072,74561,0.42,0.29,10.74,1987.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-06,AG,324,694072,74885,0.05,0.29,10.79,2038,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-07,AG,0,694072,74885,0,0.3,10.79,2051.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-08,AG,2303,694072,77188,0.33,0.29,11.12,2040.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-09,AG,2991,694072,80179,0.43,0.28,11.55,1941.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-10,AG,3122,694072,83301,0.45,0.28,12,1942.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-11,AG,2624,694072,85925,0.38,0.28,12.38,1942.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-12,AG,2224,694072,88149,0.32,0.27,12.7,1887.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-13,AG,331,694072,88480,0.05,0.25,12.75,1719.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-14,AG,0,694072,88480,0,0.22,12.75,1522,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-15,AG,1923,694072,90403,0.28,0.2,13.03,1418.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-16,AG,1811,694072,92214,0.26,0.2,13.29,1378.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-17,AG,1741,694072,93955,0.25,0.22,13.54,1509.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-18,AG,1898,694072,95853,0.27,0.22,13.81,1509.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-19,AG,1945,694072,97798,0.28,0.23,14.09,1608,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-20,AG,1246,694072,99044,0.18,0.26,14.27,1793.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-21,AG,0,694072,99044,0,0.29,14.27,1980.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-22,AG,2615,694072,101659,0.38,0.31,14.65,2164.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-23,AG,3110,694072,104769,0.45,0.34,15.09,2339.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-24,AG,3052,694072,107821,0.44,0.34,15.53,2346,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-25,AG,3183,694072,111004,0.46,0.34,15.99,2346,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-26,AG,3169,694072,114173,0.46,0.35,16.45,2419.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-27,AG,1293,694072,115466,0.19,0.36,16.64,2466,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-28,AG,0,694072,115466,0,0.36,16.64,2522.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-29,AG,3132,694072,118598,0.45,0.37,17.09,2549.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-30,AG,3433,694072,122031,0.49,0.32,17.58,2218,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-03-31,AG,3449,694072,125480,0.5,0.32,18.08,2243.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-01,AG,3372,694072,128852,0.49,0.32,18.56,2243.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-02,AG,847,694072,129699,0.12,0.28,18.69,1958.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-03,AG,1472,694072,131171,0.21,0.3,18.9,2077.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-04,AG,0,694072,131171,0,0.32,18.9,2226.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-05,AG,1137,694072,132308,0.16,0.34,19.06,2381.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-06,AG,4268,694072,136576,0.61,0.41,19.68,2873.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-07,AG,4487,694072,141063,0.65,0.42,20.32,2927.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-08,AG,4460,694072,145523,0.64,0.43,20.97,2981.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-09,AG,4290,694072,149813,0.62,0.49,21.58,3399,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-10,AG,1853,694072,151666,0.27,0.49,21.85,3387.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-11,AG,373,694072,152039,0.05,0.48,21.91,3357.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-12,AG,4062,694072,156101,0.59,0.49,22.49,3417.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-13,AG,4189,694072,160290,0.6,0.49,23.09,3431.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-14,AG,4274,694072,164564,0.62,0.49,23.71,3414.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-15,AG,4880,694072,169444,0.7,0.52,24.41,3596.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-16,AG,4391,694072,173835,0.63,0.53,25.05,3707.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-17,AG,1732,694072,175567,0.25,0.55,25.3,3842.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-18,AG,1646,694072,177213,0.24,0.58,25.53,4010.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-19,AG,4841,694072,182054,0.7,0.6,26.23,4136.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-20,AG,5132,694072,187186,0.74,0.62,26.97,4273.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-21,AG,5452,694072,192638,0.79,0.62,27.75,4271.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-22,AG,5764,694072,198402,0.83,0.62,28.59,4271.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-23,AG,5350,694072,203752,0.77,0.6,29.36,4168.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-24,AG,1717,694072,205469,0.25,0.59,29.6,4061.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-25,AG,1647,694072,207116,0.24,0.57,29.84,3925.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-26,AG,4119,694072,211235,0.59,0.54,30.43,3733.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-27,AG,4383,694072,215618,0.63,0.51,31.07,3541.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-28,AG,4499,694072,220117,0.65,0.51,31.71,3556,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-29,AG,4420,694072,224537,0.64,0.51,32.35,3563.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-04-30,AG,4004,694072,228541,0.58,0.54,32.93,3743.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-01,AG,1820,694072,230361,0.26,0.57,33.19,3957.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-02,AG,1699,694072,232060,0.24,0.61,33.43,4216,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-03,AG,5382,694072,237442,0.78,0.66,34.21,4561.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-04,AG,5881,694072,243323,0.85,0.7,35.06,4857.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-05,AG,6306,694072,249629,0.91,0.72,35.97,4956.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-06,AG,6837,694072,256466,0.99,0.72,36.95,4957,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-07,AG,6080,694072,262546,0.88,0.73,37.83,5048.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-08,AG,2512,694072,265058,0.36,0.74,38.19,5110.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-09,AG,1701,694072,266759,0.25,0.75,38.43,5216.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-10,AG,6024,694072,272783,0.87,0.67,39.3,4602.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-11,AG,6311,694072,279094,0.91,0.66,40.21,4573.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-12,AG,7052,694072,286146,1.02,0.67,41.23,4597,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-13,AG,2536,694072,288682,0.37,0.68,41.59,4670.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-14,AG,5877,694072,294559,0.85,0.68,42.44,4690.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-15,AG,2678,694072,297237,0.39,0.69,42.83,4781.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-16,AG,2217,694072,299454,0.32,0.7,43.14,4847.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-17,AG,6163,694072,305617,0.89,0.81,44.03,5586.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-18,AG,6945,694072,312562,1,0.82,45.03,5705.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-19,AG,7515,694072,320077,1.08,0.83,46.12,5737.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-20,AG,7712,694072,327789,1.11,0.79,47.23,5506.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-21,AG,6706,694072,334495,0.97,0.74,48.19,5160.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-22,AG,2905,694072,337400,0.42,0.75,48.61,5181,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-23,AG,600,694072,338000,0.09,0.76,48.7,5295.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-24,AG,3743,694072,341743,0.54,0.78,49.24,5395.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-25,AG,7086,694072,348829,1.02,0.79,50.26,5466.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-26,AG,8315,694072,357144,1.2,0.81,51.46,5617.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-27,AG,8413,694072,365557,1.21,0.84,52.67,5844.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-28,AG,7206,694072,372763,1.04,0.94,53.71,6498,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-29,AG,3960,694072,376723,0.57,0.97,54.28,6719.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-30,AG,2189,694072,378912,0.32,0.98,54.59,6823.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-05-31,AG,8317,694072,387229,1.2,0.99,55.79,6850.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-01,AG,8637,694072,395866,1.24,1.01,57.04,6990.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-02,AG,9042,694072,404908,1.3,1.03,58.34,7147.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-03,AG,8602,694072,413510,1.24,1.05,59.58,7325.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-04,AG,8187,694072,421697,1.18,1.05,60.76,7282.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-05,AG,5059,694072,426756,0.73,1.04,61.49,7213.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-06,AG,3432,694072,430188,0.49,1.03,61.98,7134.71,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-07,AG,8019,694072,438207,1.16,1.02,63.14,7067.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-08,AG,8154,694072,446361,1.17,1.01,64.31,7013,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-09,AG,8490,694072,454851,1.22,1.02,65.53,7094.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-10,AG,8131,694072,462982,1.17,1.02,66.71,7116.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-11,AG,7806,694072,470788,1.12,1.01,67.83,6989.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-12,AG,5630,694072,476418,0.81,0.99,68.64,6861.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-13,AG,3585,694072,480003,0.52,0.97,69.16,6764.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-14,AG,7133,694072,487136,1.03,0.96,70.19,6688,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-15,AG,7253,694072,494389,1.04,0.95,71.23,6567.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-16,AG,7814,694072,502203,1.13,0.92,72.36,6361.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-17,AG,7595,694072,509798,1.09,0.87,73.45,6042,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-18,AG,6960,694072,516758,1,0.85,74.45,5906.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-19,AG,4191,694072,520949,0.6,0.82,75.06,5687.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-20,AG,1348,694072,522297,0.19,0.79,75.25,5492.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-21,AG,6183,694072,528480,0.89,0.77,76.14,5329.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-22,AG,5721,694072,534201,0.82,0.75,76.97,5225.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-23,AG,6448,694072,540649,0.93,0.73,77.9,5093.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-24,AG,6453,694072,547102,0.93,0.74,78.82,5138.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-25,AG,6237,694072,553339,0.9,0.76,79.72,5271.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-26,AG,3265,694072,556604,0.47,0.77,80.19,5359.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-27,AG,1660,694072,558264,0.24,0.77,80.43,5344,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-28,AG,7119,694072,565383,1.03,0.76,81.46,5300.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-29,AG,6335,694072,571718,0.91,0.74,82.37,5099.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-06-30,AG,6339,694072,578057,0.91,0.73,83.28,5059.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-01,AG,6147,694072,584204,0.89,0.72,84.17,4991.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-02,AG,4834,694072,589038,0.7,0.7,84.87,4883,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-03,AG,2980,694072,592018,0.43,0.7,85.3,4840.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-04,AG,1187,694072,593205,0.17,0.7,85.47,4814.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-05,AG,6359,694072,599564,0.92,0.71,86.38,4884.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-06,AG,6040,694072,605604,0.87,0.73,87.25,5054,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-07,AG,6155,694072,611759,0.89,0.74,88.14,5094,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-08,AG,6636,694072,618395,0.96,0.74,89.1,5106.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-09,AG,6021,694072,624416,0.87,0.73,89.96,5087.43,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-10,AG,3260,694072,627676,0.47,0.72,90.43,5021.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-11,AG,1272,694072,628948,0.18,0.71,90.62,4913.14,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-12,AG,6228,694072,635176,0.9,0.68,91.51,4713,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-13,AG,5579,694072,640755,0.8,0.66,92.32,4554.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-14,AG,5396,694072,646151,0.78,0.63,93.1,4374.57,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-15,AG,5235,694072,651386,0.75,0.61,93.85,4207.86,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
2021-07-16,AG,4914,694072,656300,0.71,0.58,94.56,3996.29,COVID19VaccDosesAdministered,2021-11-08_08-03-41,detailed
